checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2008,10,31,Digital,OverDrive,AUDIOBOOK,"The Overlook: Harry Bosch Series, Book 13 (unabridged) (Unabridged)",,Michael Connelly,"Fiction, Mystery, Thriller",Hachette Audio,2007,balanced_by_year_and_usageclass
2009,1,120,Digital,OverDrive,AUDIOBOOK,"Breaking Dawn: The Twilight Saga, Book 4 (unabridged) (Unabridged)",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction",Books on Tape,2008,balanced_by_year_and_usageclass
2009,2,90,Digital,OverDrive,EBOOK,"New Moon: The Twilight Saga, Book 2",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction","Hachette Digital, Inc.",2007,balanced_by_year_and_usageclass
2009,3,84,Digital,OverDrive,AUDIOBOOK,"New Moon: The Twilight Saga, Book 2 (unabridged) (Unabridged)",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction",Books on Tape,2006,balanced_by_year_and_usageclass
2009,4,84,Digital,OverDrive,AUDIOBOOK,"The Lost Symbol: Robert Langdon Series, Book 3 (unabridged) (Unabridged)",,Dan Brown,"Fiction, Thriller",Books on Tape,2009,balanced_by_year_and_usageclass
2009,5,71,Digital,OverDrive,EBOOK,Blink: The Power of Thinking Without Thinking,,Malcolm Gladwell,"Business, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2005,balanced_by_year_and_usageclass
2009,6,58,Digital,OverDrive,AUDIOBOOK,Blink: The Power of Thinking Without Thinking (unabridged) (Unabridged),,Malcolm Gladwell,"Business, New Age, Nonfiction, Psychology, Self-Improvement",Hachette Audio,2006,balanced_by_year_and_usageclass
2009,7,57,Digital,OverDrive,EBOOK,"The Lost Symbol: Robert Langdon Series, Book 3",,Dan Brown,"Fiction, Thriller","Random House, Inc.",2009,balanced_by_year_and_usageclass
2009,8,55,Digital,OverDrive,AUDIOBOOK,"Master and Commander: Aubrey / Maturin Series, Book 1 (unabridged) (Unabridged)",,Patrick O'Brian,"Fiction, Historical Fiction","Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2009,9,51,Digital,OverDrive,AUDIOBOOK,"Brisingr: Inheritance Cycle, Book 3 (unabridged) (Unabridged)",,Christopher Paolini,"Fantasy, Young Adult Fiction",Books on Tape,2008,balanced_by_year_and_usageclass
2009,10,48,Digital,OverDrive,AUDIOBOOK,Moby Dick (Unabridged),,Herman Melville,"Classic Literature, Fiction","Blackstone Audio, Inc.",2008,balanced_by_year_and_usageclass
2010,1,91,Digital,OverDrive,AUDIOBOOK,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,Suzanne Collins,"Science Fiction, Thriller, Young Adult Fiction",Scholastic Inc. Audiobooks,2010,balanced_by_year_and_usageclass
2010,2,81,Digital,OverDrive,EBOOK,"New Moon: The Twilight Saga, Book 2",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction","Hachette Digital, Inc.",2007,balanced_by_year_and_usageclass
2010,3,69,Digital,OverDrive,AUDIOBOOK,"Breaking Dawn: The Twilight Saga, Book 4 (unabridged) (Unabridged)",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction",Books on Tape,2008,balanced_by_year_and_usageclass
2010,4,63,Digital,OverDrive,AUDIOBOOK,"New Moon: The Twilight Saga, Book 2 (unabridged) (Unabridged)",,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction",Books on Tape,2006,balanced_by_year_and_usageclass
2010,5,60,Digital,OverDrive,EBOOK,The Omnivore's Dilemma: The Secrets Behind What You Eat,,Michael Pollan,"Cooking & Food, Health & Fitness, Young Adult Nonfiction","Penguin Group (USA), Inc.",2009,balanced_by_year_and_usageclass
2010,6,50,Digital,OverDrive,AUDIOBOOK,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play (unabridged) (Unabridged),,"Neil Fiore, Ph.D.","Business, Management, Nonfiction, Self-Improvement",Gildan Media Corp,2008,balanced_by_year_and_usageclass
2010,7,48,Digital,OverDrive,EBOOK,Mistress,,Amanda Quick | Leda Swann,"Erotic Literature, Fiction, Historical Fiction, Romance | Fiction, Historical Fiction, Romance","HarperCollins Publishers Inc. | Random House, Inc.",2009 | 2010,balanced_by_year_and_usageclass
2010,8,46,Digital,OverDrive,AUDIOBOOK,"Call for the Dead: Smiley Series, Book 1 (unabridged) (Unabridged)",,John le Carré,"Fiction, Mystery, Suspense","AudioGO | Blackstone Audio, Inc.",2005,balanced_by_year_and_usageclass
2010,9,46,Digital,OverDrive,AUDIOBOOK,Moby Dick (Unabridged),,Herman Melville,"Classic Literature, Drama, Fiction | Classic Literature, Fiction","Blackstone Audio, Inc. | Random House Group Limited",2008 | 2009,balanced_by_year_and_usageclass
2010,10,46,Digital,OverDrive,EBOOK,Nicholas: The Lords of Satyr,,Elizabeth Amber,"Erotic Literature, Fiction, Romance","Random House, Inc.",2008,balanced_by_year_and_usageclass
2011,1,202,Digital,OverDrive,EBOOK,The Paris Wife: A Novel,,Paula McLain,"Fiction, Historical Fiction, Literature","Random House, Inc.",2011,balanced_by_year_and_usageclass
2011,2,157,Digital,Freegal,SONG,Mr. Know It All,,Kelly Clarkson,,,,balanced_by_year_and_usageclass
2011,3,119,Digital,OverDrive,EBOOK,The Omnivore's Dilemma: The Secrets Behind What You Eat,,Michael Pollan,"Cooking & Food, Health & Fitness, Young Adult Nonfiction","Penguin Group (USA), Inc.",2009,balanced_by_year_and_usageclass
2011,4,107,Digital,Freegal,SONG,Chasing Pavements,,Adele,,,,balanced_by_year_and_usageclass
2011,5,102,Digital,OverDrive,EBOOK,The Night Circus,,Erin Morgenstern,"Fantasy, Fiction, Literature, Romance","Random House, Inc.",2011,balanced_by_year_and_usageclass
2011,6,65,Digital,OverDrive,AUDIOBOOK,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,Suzanne Collins,"Science Fiction, Thriller, Young Adult Fiction",Scholastic Inc. Audiobooks,2010,balanced_by_year_and_usageclass
2011,7,62,Digital,OverDrive,AUDIOBOOK,Cleopatra: A Life (unabridged) (Unabridged),,Stacy Schiff,"Biography & Autobiography, Nonfiction",Hachette Audio,2010,balanced_by_year_and_usageclass
2011,8,62,Digital,OverDrive,AUDIOBOOK,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play (unabridged) (Unabridged),,"Neil Fiore, Ph.D.","Business, Management, Nonfiction, Self-Improvement",Gildan Media Corp,2008,balanced_by_year_and_usageclass
2011,9,59,Digital,OverDrive,EBOOK,"The Passage: The Passage Series, Book 1",,Justin Cronin,"Fantasy, Fiction, Thriller","Random House, Inc.",2010,balanced_by_year_and_usageclass
2011,10,56,Digital,OverDrive,EBOOK,Cinderella Ate My Daughter: Dispatches from the Front Lines of the New Girlie-Girl Culture,,Peggy Orenstein,"Family & Relationships, Nonfiction",HarperCollins Publishers Inc.,2011,balanced_by_year_and_usageclass
2012,1,607,Digital,OverDrive,EBOOK,The Paris Wife: A Novel,,Paula McLain,"Fiction, Historical Fiction, Literature","Random House, Inc.",2011,balanced_by_year_and_usageclass
2012,2,385,Digital,OverDrive,EBOOK,Cloud Atlas: A Novel,,David Mitchell,"Fantasy, Fiction, Historical Fiction, Literature","Random House, Inc.",2009,balanced_by_year_and_usageclass
2012,3,256,Digital,OverDrive,EBOOK,The Night Circus,,Erin Morgenstern,"Fantasy, Fiction, Literature, Romance","Random House, Inc.",2011,balanced_by_year_and_usageclass
2012,4,227,Digital,OverDrive,EBOOK,"The Passage: The Passage Series, Book 1",,Justin Cronin,"Fantasy, Fiction, Thriller","Random House, Inc.",2010,balanced_by_year_and_usageclass
