checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2018,9,496,Digital,Zinio,MAGAZINE,"O, The Oprah Magazine",,,,,,balanced_by_year_and_usageclass
2018,10,398,Digital,OverDrive,EBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2013,balanced_by_year_and_usageclass
2019,1,4943,Digital,OverDrive,EBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2013,balanced_by_year_and_usageclass
2019,2,2598,Digital,OverDrive,AUDIOBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1 (unabridged) (Unabridged)",,Kevin Kwan,"Fiction, Literature",Books on Tape,2013,balanced_by_year_and_usageclass
2019,3,1363,Digital,OverDrive,EBOOK,The Reckoning: A Novel,,John Grisham,"Fiction, Suspense, Thriller","Random House, Inc.",2018,balanced_by_year_and_usageclass
2019,4,1021,Digital,OverDrive,EBOOK,"Outlander: Outlander Series, Book 1",,Diana Gabaldon,"Fantasy, Fiction, Historical Fiction, Romance","Random House, Inc.",2008,balanced_by_year_and_usageclass
2019,5,845,Digital,OverDrive,EBOOK,Pachinko (National Book Award Finalist),,Min Jin Lee,"Fiction, Literature","Hachette Digital, Inc.",2017,balanced_by_year_and_usageclass
2019,6,762,Digital,OverDrive,AUDIOBOOK,The Red Pencil (Unabridged),,Andrea Davis Pinkney,"Juvenile Fiction, Juvenile Literature",Hachette Audio,2014,balanced_by_year_and_usageclass
2019,7,752,Digital,OverDrive,AUDIOBOOK,The Reckoning: A Novel (unabridged) (Unabridged),,John Grisham,"Fiction, Suspense, Thriller",Books on Tape,2018,balanced_by_year_and_usageclass
2019,8,737,Digital,OverDrive,EBOOK,Pachinko,,Min Jin Lee,"Fiction, Literature","Hachette Digital, Inc.",2017,balanced_by_year_and_usageclass
2019,9,680,Digital,OverDrive,AUDIOBOOK,Pachinko (Unabridged),,Min Jin Lee,"Fiction, Literature","Blackstone Audio, Inc.",2017,balanced_by_year_and_usageclass
2019,10,564,Digital,OverDrive,AUDIOBOOK,Outliers: The Story of Success (unabridged) (Unabridged),,Malcolm Gladwell,"Business, Economics, Nonfiction, Sociology | Business, Nonfiction, Psychology, Self Help | Nonfiction, Psychology","Blackstone Audio, Inc. | Hachette Audio",2008 | 2012,balanced_by_year_and_usageclass
2020,1,2235,Digital,OverDrive,EBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2013,balanced_by_year_and_usageclass
2020,2,1256,Digital,OverDrive,AUDIOBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1 (unabridged) (Unabridged)",,Kevin Kwan,"Fiction, Literature",Books on Tape,2013,balanced_by_year_and_usageclass
2020,3,946,Digital,OverDrive,EBOOK,The Reckoning: A Novel,,John Grisham,"Fiction, Suspense, Thriller","Random House, Inc.",2018,balanced_by_year_and_usageclass
2020,4,698,Digital,OverDrive,AUDIOBOOK,"Origin: Robert Langdon Series, Book 5 (unabridged) (Unabridged)",,Dan Brown,"Fiction, Suspense, Thriller",Books on Tape,2017,balanced_by_year_and_usageclass
2020,5,580,Digital,OverDrive,AUDIOBOOK,The Reckoning: A Novel (unabridged) (Unabridged),,John Grisham,"Fiction, Suspense, Thriller",Books on Tape,2018,balanced_by_year_and_usageclass
2020,6,487,Digital,OverDrive,EBOOK,"Origin: Robert Langdon Series, Book 5",,Dan Brown,"Fiction, Suspense, Thriller","Random House, Inc.",2017,balanced_by_year_and_usageclass
2020,7,414,Digital,OverDrive,EBOOK,"Outlander: Outlander Series, Book 1",,Diana Gabaldon,"Fantasy, Fiction, Historical Fiction, Romance","Random House, Inc.",2008,balanced_by_year_and_usageclass
2020,8,331,Digital,OverDrive,EBOOK,The Raven Tower,,Ann Leckie,"Fantasy, Fiction, Literature","Hachette Digital, Inc.",2019,balanced_by_year_and_usageclass
2020,9,295,Digital,OverDrive,EBOOK,"Oryx and Crake: MaddAddam Trilogy, Book 1",,Margaret Atwood,"Fantasy, Fiction, Literature, Science Fiction","Random House, Inc.",2009,balanced_by_year_and_usageclass
2020,10,276,Digital,OverDrive,EBOOK,Pachinko,,Min Jin Lee,"Fiction, Literature","Hachette Digital, Inc.",2017,balanced_by_year_and_usageclass
2021,1,542,Digital,OverDrive,EBOOK,Pachinko,,Min Jin Lee,"Fiction, Literature","Hachette Digital, Inc.",2017,balanced_by_year_and_usageclass
2021,2,464,Digital,OverDrive,EBOOK,Outlawed,,Anna North,"Fiction, Historical Fiction, Literature, Western | Fiction, Literature, Western, Historical Fiction",Bloomsbury USA,2021,balanced_by_year_and_usageclass
2021,3,439,Digital,OverDrive,EBOOK,"Outlander: Outlander Series, Book 1",,Diana Gabaldon,"Fantasy, Fiction, Historical Fiction, Romance | Fantasy, Fiction, Romance, Historical Fiction","Random House, Inc.",2008,balanced_by_year_and_usageclass
2021,4,417,Digital,OverDrive,AUDIOBOOK,Outliers: The Story of Success (unabridged),,Malcolm Gladwell,"Business, Psychology, Nonfiction, Self Help",Hachette Audio,2008,balanced_by_year_and_usageclass
2021,5,353,Digital,OverDrive,EBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",,Kevin Kwan,"Fiction, Humor (Fiction), Literature, Romance | Fiction, Literature, Romance, Humor (Fiction)","Random House, Inc.",2013,balanced_by_year_and_usageclass
2021,6,331,Digital,OverDrive,AUDIOBOOK,"Outlander: Outlander Series, Book 1 (unabridged)",,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction","Recorded Books, LLC",2020,balanced_by_year_and_usageclass
2021,7,240,Digital,OverDrive,AUDIOBOOK,Pachinko (unabridged),,Min Jin Lee,"Fiction, Literature","Blackstone Audio, Inc.",2017,balanced_by_year_and_usageclass
2021,8,224,Digital,OverDrive,AUDIOBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1 (unabridged)",,Kevin Kwan,"Fiction, Literature",Books on Tape,2013,balanced_by_year_and_usageclass
2021,9,217,Digital,OverDrive,AUDIOBOOK,"Crave: Crave Series, Book 1 (unabridged)",,Tracy Wolff,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature","Tantor Media, Inc",2021,balanced_by_year_and_usageclass
2021,10,206,Digital,OverDrive,EBOOK,"The Red Pyramid: The Kane Chronicles, Book 1",,Rick Riordan,"Fantasy, Juvenile Fiction, Mythology",Disney Digital Books,2011,balanced_by_year_and_usageclass
2022,1,759,Digital,OverDrive,EBOOK,"Outlander: Outlander Series, Book 1",9780440335160,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction","Random House, Inc.",2008,balanced_by_year_and_usageclass
2022,2,710,Digital,OverDrive,EBOOK,Our Missing Hearts: A Novel,9780593492550,Celeste Ng,"Fantasy, Fiction, Literature","Penguin Group (USA), Inc.",2022,balanced_by_year_and_usageclass
2022,3,631,Digital,OverDrive,EBOOK,Our Country Friends: A Novel,9781984855138,Gary Shteyngart,"Fiction, Literature","Random House, Inc.",2021,balanced_by_year_and_usageclass
2022,4,621,Digital,OverDrive,EBOOK,"The Recovery Agent: Gabriela Rose Series, Book 1",9781982154943,Janet Evanovich,"Fiction, Mystery, Thriller, Humor (Fiction)","Simon & Schuster, Inc.",2022,balanced_by_year_and_usageclass
2022,5,569,Digital,OverDrive,AUDIOBOOK,"Outlander: Outlander Series, Book 1 (unabridged)",9781470360573,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction","Recorded Books, LLC",2020,balanced_by_year_and_usageclass
2022,6,559,Digital,OverDrive,EBOOK,Counterfeit: A Novel,9780063119574,Kirstin Chen,"Fiction, Literature, Mystery",HarperCollins Publishers Inc.,2022,balanced_by_year_and_usageclass
2022,7,513,Digital,OverDrive,AUDIOBOOK,"Crave: Crave Series, Book 1 (unabridged)",9781705219614,Tracy Wolff,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature","Tantor Media, Inc",2021,balanced_by_year_and_usageclass
2022,8,458,Digital,OverDrive,AUDIOBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1 (unabridged)",9780804120791,Kevin Kwan,"Fiction, Literature",Books on Tape,2013,balanced_by_year_and_usageclass
2022,9,451,Digital,OverDrive,EBOOK,"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",9780385536981,Kevin Kwan,"Fiction, Literature, Romance, Humor (Fiction)","Random House, Inc.",2013,balanced_by_year_and_usageclass
2022,10,445,Digital,OverDrive,AUDIOBOOK,Our Missing Hearts: A Novel (unabridged),9780593629635,Celeste Ng,"Fantasy, Fiction, Literature",Books on Tape,2022,balanced_by_year_and_usageclass
2023,1,2040,Digital,OverDrive,EBOOK,Our Missing Hearts: A Novel,9780593492550,Celeste Ng,"Fantasy, Fiction, Literature","Penguin Group (USA), Inc.",2022,balanced_by_year_and_usageclass
2023,2,1359,Digital,OverDrive,AUDIOBOOK,Our Missing Hearts: A Novel (unabridged),9780593629635,Celeste Ng,"Fantasy, Fiction, Literature",Books on Tape,2022,balanced_by_year_and_usageclass
2023,3,834,Digital,OverDrive,AUDIOBOOK,Outlive: The Science and Art of Longevity (unabridged),9780593664452,"Peter Attia, MD","Health & Fitness, Science, Self-Improvement, Nonfiction",Books on Tape,2023,balanced_by_year_and_usageclass
2023,4,595,Digital,OverDrive,EBOOK,Outlive: The Science and Art of Longevity,9780593236604,"Peter Attia, MD","Health & Fitness, Science, Self-Improvement, Nonfiction","Random House, Inc.",2023,balanced_by_year_and_usageclass
2023,5,559,Digital,OverDrive,AUDIOBOOK,There There: A novel (unabridged),9780525635598,Tommy Orange,"Fiction, Literature",Books on Tape,2018,balanced_by_year_and_usageclass
2023,6,549,Digital,OverDrive,EBOOK,There There: A novel,9780525520382,Tommy Orange,"Fiction, Literature","Random House, Inc.",2018,balanced_by_year_and_usageclass
2023,7,539,Digital,OverDrive,EBOOK,Outlander: A Novel,9780440335160,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction","Random House, Inc.",2008,balanced_by_year_and_usageclass
2023,8,507,Digital,OverDrive,AUDIOBOOK,Counterfeit: A Novel (unabridged),9780063119581,Kirstin Chen,"Fiction, Literature, Mystery",HarperCollins Publishers Inc.,2022,balanced_by_year_and_usageclass
2023,9,491,Digital,OverDrive,AUDIOBOOK,Our Wives Under the Sea (unabridged),9781666583403,Julia Armfield,"Fiction, Literature, LGBTQIA+ (Fiction)","Dreamscape Media, LLC",2022,balanced_by_year_and_usageclass
2023,10,467,Digital,OverDrive,AUDIOBOOK,The Return of the King (unabridged),9781461836162 | 9781705047569,J.R.R. Tolkien,"Fantasy, Fiction | Fantasy, Fiction, Mythology","Recorded Books, LLC",2020 | 2021,balanced_by_year_and_usageclass
2024,1,1008,Digital,OverDrive,AUDIOBOOK | Audiobook,There There: A novel (unabridged),9780525635598,Tommy Orange,"Fiction, Literature",Books on Tape,2018,balanced_by_year_and_usageclass
2024,2,959,Digital,OverDrive,AUDIOBOOK | Audiobook,Outlive: The Science and Art of Longevity (unabridged),9780593664452,"Peter Attia, MD","Health & Fitness, Science, Self-Improvement, Nonfiction",Books on Tape,2023,balanced_by_year_and_usageclass
2024,3,849,Digital,OverDrive,AUDIOBOOK,The Return of the King (unabridged),9781461836162 | 9781705047569,J.R.R. Tolkien,"Fantasy, Fiction | Fantasy, Fiction, Mythology","Recorded Books, LLC",2020 | 2021,balanced_by_year_and_usageclass
2024,4,768,Digital,OverDrive,EBOOK | Ebook,There There: A novel,9780525520382,Tommy Orange,"Fiction, Literature","Knopf Doubleday Publishing Group | Random House, Inc.",2018,balanced_by_year_and_usageclass
2024,5,644,Digital,OverDrive,EBOOK | Ebook,Outlander,9780440335160,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction","Random House Publishing Group | Random House, Inc.",2004 | 2008,balanced_by_year_and_usageclass
2024,6,612,Digital,OverDrive,EBOOK | Ebook,Outlive: The Science and Art of Longevity,9780593236604,"Peter Attia, MD","Health & Fitness, Science, Self-Improvement, Nonfiction","Harmony/Rodale/Convergent | Random House, Inc.",2023,balanced_by_year_and_usageclass
2024,7,376,Digital,OverDrive,AUDIOBOOK | Audiobook,Our Wives Under the Sea (unabridged),9781666583403,Julia Armfield,"Fiction, Literature, LGBTQIA+ (Fiction)","Dreamscape Media | Dreamscape Media, LLC",2022,balanced_by_year_and_usageclass
2024,8,370,Digital,OverDrive,EBOOK | Ebook,Pachinko,9781455563913,Min Jin Lee,"Fiction, Literature","Grand Central Publishing | Hachette Digital, Inc.",2017,balanced_by_year_and_usageclass
2024,9,356,Digital,OverDrive,EBOOK,Creation Lake: A Novel,9781982116545,Rachel Kushner,"Fiction, Literature","Simon & Schuster, Inc.",2024,balanced_by_year_and_usageclass
2024,10,352,Digital,OverDrive,EBOOK | Ebook,Crook Manifesto: A Novel,9780385545167,Colson Whitehead,"Fiction, African American Fiction, Literature, Historical Fiction","Knopf Doubleday Publishing Group | Random House, Inc.",2023,balanced_by_year_and_usageclass
2025,1,1222,Digital,OverDrive,EBOOK | Ebook,Creation Lake: A Novel,9781982116545,Rachel Kushner,"Fiction, Literature","Scribner | Simon & Schuster, Inc.",2024,balanced_by_year_and_usageclass
2025,2,692,Digital,OverDrive,EBOOK | Ebook,Outlander,9780440335160,Diana Gabaldon,"Fantasy, Fiction, Romance, Historical Fiction",Random House Publishing Group,2004 | 2008,balanced_by_year_and_usageclass
2025,3,581,Digital,OverDrive,AUDIOBOOK | Audiobook,Creation Lake: A Novel (unabridged),9781797183473,Rachel Kushner,"Fiction, Literature",Simon & Schuster - Audiobooks | Simon & Schuster Audio,2024,balanced_by_year_and_usageclass
2025,4,569,Digital,OverDrive,AUDIOBOOK | Audiobook,Outlive: The Science and Art of Longevity (unabridged),9780593664452,"Peter Attia, MD","Health & Fitness, Science, Self-Improvement, Nonfiction",Books on Tape,2023,balanced_by_year_and_usageclass
2025,5,565,Digital,OverDrive,AUDIOBOOK | Audiobook,Our Wives Under the Sea (unabridged),9781666583403,Julia Armfield,"Fiction, Literature, LGBTQIA+ (Fiction)","Dreamscape Media | Dreamscape Media, LLC",2022,balanced_by_year_and_usageclass
2025,6,513,Digital,OverDrive,AUDIOBOOK,There There: A novel (unabridged),9780525635598,Tommy Orange,"Fiction, Literature",Books on Tape,2018,balanced_by_year_and_usageclass
2025,7,478,Digital,OverDrive,EBOOK,There There: A novel,9780525520382,Tommy Orange,"Fiction, Literature","Knopf Doubleday Publishing Group | Random House, Inc.",2018,balanced_by_year_and_usageclass
2025,8,454,Digital,OverDrive,EBOOK | Ebook,Crime and Punishment,9780679640035 | 9781101142318 | 9781101487556 | 9781620116982,Fyodor Dostoevsky | Fyodor Dostoyevsky,"Classic Literature, Fiction | Classic Literature, Fiction, Literature | Classic Literature, Fiction, Literature, Mystery","Duke Classics | Fictionwise, Inc. | Penguin Group (USA), Inc. | Penguin Group USA, Inc. | Penguin Publishing Group | Random House Publishing Group | Random House, Inc.",1999 | 2004 | 2005 | 2006 | 2010 | 2011 | 2012 | 2013 | 2021,balanced_by_year_and_usageclass
2025,9,450,Digital,OverDrive,AUDIOBOOK | Audiobook,Out On a Limb:  (unabridged),9798350867053,Hannah Bonam-Young,"Fiction, Romance, Humor (Fiction)","Tantor Media, Inc",2023,balanced_by_year_and_usageclass
2025,10,414,Digital,OverDrive,AUDIOBOOK | Audiobook,Crime and Punishment:  (unabridged),9781483089478,Fyodor Dostoevsky,"Classic Literature, Fiction, Literature, Historical Fiction",Blackstone Publishing,2007 | 2009,balanced_by_year_and_usageclass
