checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2012,3,352,Physical,Horizon,VIDEODISC,"Cloudy with a chance of meatballs [videorecording] / Columbia Pictures and Sony Pictures Animation ; produced by Pam Marsden ; screenplay by Phil Lord, Chris Miller ; directed by Phil Lord, Chris Miller.",,,"Inventors Juvenile fiction, Television weathercasters Juvenile fiction, Bullying Juvenile fiction, Police Juvenile fiction, Food habits Juvenile fiction, Childrens films, Animated films, Video recordings for the hearing impaired, Feature films","Sony Pictures Home Entertainment,",2010.,balanced_by_year_and_usageclass
2012,4,322,Physical,Horizon,VIDEODISC,"Michael Clayton [videorecording] / Warner Bros. Pictures presents in association with Samuels Media and Castle Rock Entertainment a Mirage Enterprises/Section Eight production ; produced by Jennifer Fox, Kerry Orent, Sydney Pollack, Steve Samuels ; written and directed by Tony Gilroy.",,,"Corporate lawyers New York State New York Drama, Class actions Civil procedure New York State New York Drama, Law firms New York State New York Drama, Corporate lawyers Malpractice Drama, New York N Y Drama, Feature films, Legal films, Video recordings for the hearing impaired, Thrillers Motion pictures","Warner Home Video,",[2008],balanced_by_year_and_usageclass
2012,5,306,Physical,Horizon,VIDEODISC,"The men who stare at goats [videorecording] / Overture Films in association with Winchester Capital Management and BBC Films ; a Smokehouse/Paul Lister production ; produced by Paul Lister, George Clooney, Grant Heslov ; screenplay by Peter Straughan ; directed by Grant Heslov.",,,"Reporters and reporting Drama, United States Army Military life Drama, Parapsychology Military aspects Drama, Psychics Drama, United States Army Search and rescue operations Drama, Comedy films, War films, Feature films, Fiction films","Distributed by Anchor Bay Entertainment,",[2010],balanced_by_year_and_usageclass
2012,6,281,Physical,Horizon,BOOK,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
2012,7,272,Physical,Horizon,BOOK,"Click, clack, moo : cows that type / by Doreen Cronin ; pictures by Betsy Lewin.",,"Cronin, Doreen","Cows Juvenile fiction, Domestic animals Juvenile fiction, Typewriters Juvenile fiction","Simon & Schuster Books for Young Readers,",c2000.,balanced_by_year_and_usageclass
2012,8,266,Physical,Horizon,VIDEODISC,"The messenger [videorecording] / Oscilloscope Laboratores ; Omnilab Media ; Sherezade Films ; the Mark Gordon Company ; Good ; produced by Mark Gordon, Lawrence Inglee, Zach Miller ; written by Alessandro Camon & Oren Moverman ; directed by Oren Moverman.",,,"Iraq War 2003 2011 Veterans Drama, Veterans Drama, War widows Drama, Man woman relationships Drama, Feature films, Fiction films","Oscilloscope Pictures,",2010.,balanced_by_year_and_usageclass
2012,9,248,Physical,Horizon,VIDEODISC,Mildred Pierce [videorecording] / HBO miniseries ; in association with Metro-Goldwyn-Mayer ; a Killer Films/John Wells production ; teleplay by Todd Haynes & Jon Raymond ; directed by Todd Haynes.,,,"Mothers and daughters Drama, Depressions 1929 Drama, Women Social conditions Drama, Television mini series, Fiction television programs, Television melodramas, Video recordings for the hearing impaired","Home Box Office ; distributed by Warner Home Video,",c2012.,balanced_by_year_and_usageclass
2012,10,247,Physical,Horizon,VIDEODISC,"Client 9 [videorecording] : the rise and fall of Eliot Spitzer / Magnolia Pictures and A&E Indiefilms present in association with Wider Film Projects and Jigsaw Productions ; produced by Alex Gibney, Jedd Wider, Todd Wider ; written and directed by Alex Gibney.",,,"Spitzer Eliot, Governors New York State Biography, Attorneys general New York State Biography, New York State Politics and government 1951, Political corruption New York State, Documentary films, Nonfiction films, Video recordings for the hearing impaired","Distributed by Magnolia Home Entertainment,",c2011.,balanced_by_year_and_usageclass
2013,1,1151,Physical,Horizon,VIDEODISC,"Cloud atlas [videorecording] / Warner Bros. Pictures ; a Cloud Atlas/X-Filme Creative Pool/Anarchos production ; produced by Grant Hill, Stefan Arndt, Lana Wachowski, Tom Tykwer, Andy Wachowski ; written for the screen and directed by Lana Wachowski, Tom Tykwer, Andy Wachowski.",,,"Fate and fatalism Drama, Reincarnation Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Fiction films","Warner Home Video,",c2013.,balanced_by_year_and_usageclass
2013,2,717,Physical,Horizon,VIDEODISC,"Moonrise kingdom [videorecording] / Focus Features ; Indian Paintbrush ; an American Empirical picture ; produced by Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson ; written by Wes Anderson and Roman Coppola ; directed by Wes Anderson.",,,"Preteens Drama, Runaway children Drama, New England Drama, Coming of age films, Feature films, Fiction films, Comedy films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Focus Features,",c2012.,balanced_by_year_and_usageclass
2013,3,618,Physical,Horizon,BOOK,Cloud atlas : a novel / David Mitchell.,,"Mitchell, David (David Stephen)","Fate and fatalism Fiction, Reincarnation Fiction, Fantasy fiction","Random House Trade Paperbacks,",c2004.,balanced_by_year_and_usageclass
2013,4,587,Physical,Horizon,VIDEODISC,The newsroom. The complete first season [videorecording] / HBO Entertainment.,,,"Broadcast journalism Drama, Television journalists Drama, Women television producers and directors Drama, Television producers and directors Drama, Television broadcasting of news Drama, Man woman relationships Drama, Television series, Fiction television programs, Video recordings for the hearing impaired","Home Box Office : Warner Home Video,",[2013],balanced_by_year_and_usageclass
2013,5,485,Physical,Horizon,BOOK,Code name Verity / Elizabeth Wein.,,"Wein, Elizabeth","Women air pilots Juvenile fiction, Air pilots Juvenile fiction, World War 1939 1945 Juvenile fiction, Friendship Fiction, Nazis Juvenile fiction, Spies Fiction, Insurgency Juvenile fiction, Great Britain History 1936 1945 Juvenile fiction, France History German occupation 1940 1945 Juvenile fiction","Hyperion Books,",c2012.,balanced_by_year_and_usageclass
2013,6,423,Physical,Horizon,VIDEODISC,"Cloudy with a chance of meatballs [videorecording] / Columbia Pictures and Sony Pictures Animation ; produced by Pam Marsden ; screenplay by Phil Lord, Chris Miller ; directed by Phil Lord, Chris Miller.",,,"Inventors Juvenile fiction, Television weathercasters Juvenile fiction, Bullying Juvenile fiction, Police Juvenile fiction, Food habits Juvenile fiction, Childrens films, Animated films, Video recordings for the hearing impaired, Feature films","Sony Pictures Home Entertainment,",2010.,balanced_by_year_and_usageclass
2013,7,419,Physical,Horizon,VIDEODISC,"Coco avant Chanel [videorecording] = Coco before Chanel / Sony Pictures Classics ; Warner Bros. Pictures ; une coproduction Haut et Court, Cine @, Warner Bros. Entertainment France, France 2 Cinema ; avec la participation de Canal+, Cinecinema, France 2 en association avec Films Distribution, Cofinova 5, Banque Populaire Images 9, et Scope Pictures ; scenario, Anne Fontaine et Camille Fontaine avec la collaboration de Christopher Hampton et Jacques Fieschi ; produit par Caroline Benjo, ... [and others] ; un film de Anne Fontaine.",,,"Chanel Coco 1883 1971 Drama, Man woman relationships Drama, Businesswomen Drama, Fashion designers Drama, Orphans Drama, Motion pictures French, France Drama, Feature films, Biographical films","Sony Pictures Classics ; Sony Pictures Home Entertainment,",c2010.,balanced_by_year_and_usageclass
2013,8,349,Physical,Horizon,VIDEODISC,"The next three days [videorecording] / Lionsgate ; a Highway 61 Films production ; produced by Michael Nozik, Paul Haggis, Olivier Delbosc, Marc Missonnier ; screenplay by Paul Haggis ; directed by Paul Haggis.",,,"Murder Drama, False imprisonment Drama, Judicial error Drama, Escapes Drama, Action and adventure films, Thrillers Motion pictures, Fiction films, Feature films, Video recordings for the hearing impaired","Lionsgate,",[2011],balanced_by_year_and_usageclass
2013,9,323,Physical,Horizon,VIDEODISC,"Monsters, Inc. [videorecording] / Pixar Animation Studios ; Walt Disney Pictures ; producer, Darla K. Anderson ; writers, Jill Culton ... [and others] ; directors, Pete Docter, David Silverman, Lee Unkrich.",,,"Monsters Juvenile drama, Factories Juvenile drama, Feature films, Childrens films, Animated films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Disney : Pixar,",[2013],balanced_by_year_and_usageclass
2013,10,311,Physical,Horizon,VIDEODISC,"Coco Chanel [videorecording] / an Alchemy Television, LuxVide, Pampa Production, Rai Fiction coproduction ; producer, Christian Duguay, Luca Bernabei, Nicolas Traube ; teleplay by Enrico Medioli ... [and others] ; story by Carla Casalini ... [et al.] ; directed by Christian Duguay.",,,"Chanel Coco 1883 1971 Drama, Women fashion designers France Paris Drama, Clothing workers France Paris Drama, Man woman relationships France Paris Drama, Families France Drama, Biographical television programs, Made for TV movies","Screen Media Films,",c2009.,balanced_by_year_and_usageclass
2014,1,982,Physical,Horizon,VIDEODISC,"Mud [videorecording] / Lionsgate ; Roadside Attractions ; Everest Entertainment ; a Brace Cove/Filmation production ; produced by Lisa Maria Falcone, Sarah Green, Aaron Ryder ; written and directed by Jeff Nichols.",,,"Friendship Drama, Fugitives from justice Drama, Murder Drama, Islands Drama, Mississippi River Drama, Feature films, Coming of age films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","Lionsgate,",[2013],balanced_by_year_and_usageclass
2014,2,491,Physical,Horizon,VIDEODISC,"The odd life of Timothy Green [videorecording] / Disney ; produced by Scott Sanders, Ahmet Zappa, Jim Whitaker ; screenplay by Peter Hedges ; story by Ahmet Zappa ; directed by Peter Hedges.",,,"Wishes Drama, Child rearing Drama, Parent and child Drama, Fantasy films, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Disney,",c2012.,balanced_by_year_and_usageclass
2014,3,450,Physical,Horizon,BOOK,The ocean at the end of the lane / Neil Gaiman.,,"Gaiman, Neil","Good and evil Fiction, Women Fiction, Boys Fiction, Survival Fiction, Wilderness survival Fiction, Memory Fiction, Magic Fiction, Horror fiction, Fantasy fiction","William Morrow,",[2013],balanced_by_year_and_usageclass
2014,4,444,Physical,Horizon,VIDEODISC,"Muppets most wanted [videorecording] / Disney ; a Mandeville Films production ; produced by David Hoberman, Todd Lieberman ; written by James Bobin and Nicholas Stoller ; directed by James Bobin.",,,"Muppets Fictitious characters Juvenile drama, Voyages around the world Juvenile drama, Comedy films, Childrens films, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Walt Disney Studios Home Entertainment,",[2014],balanced_by_year_and_usageclass
2014,5,438,Physical,Horizon,VIDEODISC,"C.O.G. [videorecording] / Focus World ; Forty Second Productions ; Rhino Films ; written & directed by Kyle Patrick Alvarez ; produced by Cookie Carosella, Stephen Nemeth, Kyle Patrick Alvarez.",,,"Coming of age Drama, Feature films, Comedy films, Coming of age films, Fiction films, Video recordings for the hearing impaired","Child of God,",[2013],balanced_by_year_and_usageclass
2014,6,330,Physical,Horizon,VIDEODISC,"The next three days [videorecording] / Lionsgate ; a Highway 61 Films production ; produced by Michael Nozik, Paul Haggis, Olivier Delbosc, Marc Missonnier ; screenplay by Paul Haggis ; directed by Paul Haggis.",,,"Murder Drama, False imprisonment Drama, Judicial error Drama, Escapes Drama, Action and adventure films, Thrillers Motion pictures, Fiction films, Feature films, Video recordings for the hearing impaired","Lionsgate,",[2011],balanced_by_year_and_usageclass
2014,7,319,Physical,Horizon,VIDEODISC,"Cold weather [videorecording] / Sundance Selects ; Parts and Labor in association with White Buffalo ; produced by Lars Knudsen, Brendan McFadden, Ben Stambler, Jay Van Hoy ; story by Aaron Katz, Brendan McFadden, Ben Stambler ; written and directed by Aaron Katz.",,,"Brothers and sisters Drama, Kidnapping Drama, Kidnapping victims Drama, Portland Or Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films","Sundance Selects : MPI Media Group,",c2011.,balanced_by_year_and_usageclass
2014,8,278,Physical,Horizon,BOOK,Code name Verity / Elizabeth Wein.,,"Wein, Elizabeth","Women air pilots Juvenile fiction, Air pilots Juvenile fiction, World War 1939 1945 Juvenile fiction, Friendship Fiction, Nazis Juvenile fiction, Spies Fiction, Insurgency Juvenile fiction, Great Britain History 1936 1945 Juvenile fiction, France History German occupation 1940 1945 Juvenile fiction","Hyperion Books,",c2012.,balanced_by_year_and_usageclass
2014,9,264,Physical,Horizon,VIDEODISC,"Cold souls [videorecording] / Samuel Goldwyn Films ; Two Lane Pictures and Winner Arts Limited ; a Journeyman Pictures/Touchy Feely Films production in co-production with Memento Films production and Arte France Cinéma ; produced by Dan Carey, Elizabeth Giamatti, Paul Mezey, Andrij Parekh, Jeremy Kipp Walker ; written and directed by Sophie Barthes.",,,"Soul Drama, Actors Drama, High technology services industries Drama, Performance anxiety Drama, Actresses Drama, Comedy films, Video recordings for the hearing impaired, Feature films, Fiction films, Fantasy films","20th Century Fox Home Entertainment,",[c2010].,balanced_by_year_and_usageclass
2014,10,255,Physical,Horizon,VIDEODISC,"Cockneys vs. zombies [videorecording] / SC Films International ; Limelight ; Molinare ; the Tea Shop & Film Company ; in association with StudioCanal ; and in association with Kintop Pictures ; written by James Moran, Lucas Roche ; based on an idea by Matthias Hoene ; producers, James Harris, Mark Lane & Matthius Hoene ; directed by Matthius Hoene.",,,"Bank robberies Drama, Zombies Drama, Feature films, Comedy films, Horror films, Fiction films, Video recordings for the hearing impaired","Shout! Factory : Scream Factory,",[2013],balanced_by_year_and_usageclass
2015,1,773,Physical,Horizon,VIDEODISC,The one I love [videorecording] / Radius TWC ; a Duplass Brothers production ; produced by Mel Eslyn ; written by Justin Lader ; directed by Charlie McDowell.,,,"Marriage Drama, Couples therapy Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Anchor Bay Entertainment,",[2014],balanced_by_year_and_usageclass
2015,2,619,Physical,Horizon,BOOK,My friend is sad / by Mo Willems.,,"Willems, Mo","Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Emotions Juvenile fiction, Friendship Fiction","Hyperion Books for Children,",2007.,balanced_by_year_and_usageclass
2015,3,490,Physical,Horizon,BOOK,Colorless Tsukuru Tazaki and his years of pilgrimage / Haruki Murakami ; translated from the Japanese by Philip Gabriel.,,"Murakami, Haruki, 1949-","Friendship Fiction, Identity Psychology Fiction, Locomotive engineers Fiction, Self realization Fiction, Voyages and travels Fiction, Japan Fiction, Europe Fiction, Bildungsromans, Psychological fiction, Large type books | Friendship Fiction, Identity Psychology Fiction, Locomotive engineers Fiction, Self realization Fiction, Voyages and travels Fiction, Japan Fiction, Europe Fiction, Psychological fiction","Alfred A. Knopf, | Random House Large Print,",2014. | [2014],balanced_by_year_and_usageclass
2015,4,412,Physical,Horizon,BOOK | SOUNDDISC,"The opposite of spoiled : raising kids who are grounded, generous, and smart about money / Ron Lieber.",,"Lieber, Ron","Children Finance Personal, Parenting | Saving and investment United States, Children United States Finance Personal, Child rearing United States, Audiobooks","Harper Audio, | Harper, an imprint of HarperCollinsPublishers,",[2015],balanced_by_year_and_usageclass
2015,5,374,Physical,Horizon,VIDEODISC,"Cold in July [videorecording] / IFC Films ; Memento Films ; BSM Studio ; a Belladonna production ; in association with Backup Media and Paradise City ; produced by Linda Moran, Rene Bastian, Adam Folk, Marie Savare ; written by Nick Damici & Jim Mickle ; directed by Jim Mickle.",,,"Home invasion Drama, Burglars Drama, Revenge Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","IFC Films,",[2014],balanced_by_year_and_usageclass
2015,6,374,Physical,Horizon,BOOK,The one and only Ivan / Katherine Applegate ; illustrations by Patricia Castelao.,,"Applegate, Katherine","Gorilla Juvenile fiction, Elephants Juvenile fiction, Animals Treatment Fiction","Harper,",c2012.,balanced_by_year_and_usageclass
2015,7,296,Physical,Horizon,BOOK,The orchardist : a novel / Amanda Coplin.,,"Coplin, Amanda","Fruit growers Fiction, Orchards Northwest Pacific Fiction, Pregnant teenagers Fiction, Families Fiction","Harper,",2012.,balanced_by_year_and_usageclass
2015,8,275,Physical,Horizon,BOOK,The organized mind : thinking straight in the age of information overload / Daniel J. Levitin.,,"Levitin, Daniel J.","Distraction Psychology, Attention, Time management, Orderliness","Dutton,",[2014],balanced_by_year_and_usageclass
2015,9,251,Physical,Horizon,BOOK,"My brilliant friend : childhood, adolescence / Elena Ferrante ; translated from the Italian by Ann Goldstein.",,"Ferrante, Elena","Friendship Fiction, Naples Italy Fiction","Europa Editions,",2012.,balanced_by_year_and_usageclass
2015,10,241,Physical,Horizon,BOOK | SOUNDDISC,The one / Kiera Cass.,,"Cass, Kiera","Marriage Fiction, Contests Fiction, Social classes Fiction, Princes Fiction, Revolutionaries Fiction, Marriage Fiction, Contests Fiction, Social classes Fiction, Princes Fiction, Revolutionaries Fiction, Love stories, Young adult fiction, Audiobooks | Marriage Juvenile fiction, Contests Juvenile fiction, Social classes Juvenile fiction, Princes Juvenile fiction, Revolutionaries Juvenile fiction, Marriage Fiction, Love Fiction","Harper Audio, | HarperTeen, an imprint of HarperCollinsPublishers,",[2014],balanced_by_year_and_usageclass
2016,1,725,Physical,Horizon,BOOK,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
2016,2,425,Physical,Horizon,BOOK,My friend is sad / by Mo Willems.,,"Willems, Mo","Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Emotions Juvenile fiction, Friendship Fiction","Hyperion Books for Children,",2007.,balanced_by_year_and_usageclass
2016,3,404,Physical,Horizon,VIDEODISC,The other woman [videorecording] / Twentieth Century Fox ; an LBI Entertainment production ; produced by Julie Yorn ; written by Melissa K. Stack ; directed by Nick Cassavetes.,,,"Adultery Drama, Revenge Drama, Feature films, Fiction films, Comedy films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","20th Century Fox Home Entertainment,",[2014],balanced_by_year_and_usageclass
2016,4,398,Physical,Horizon,VIDEODISC,"My old lady [videorecording] / Universal ; Cohen Media Group ; BBC Films ; in association with Protagonist Pictures and Tumbledown Productions Limited ; a Deux Chevaux/Katsize Films production ; in association with Krasnoff/Foster Entertainment ; produced by Rachael Horovitz, Gary Foster, Nitsa Benchetrit, David C. Barrot ; written for the screen and directed by Israel Horovitz.",,,"Roommates Drama, Paris France Drama, Family secrets Drama, Feature films, Comedy films, Fiction films","Universal Studios Home Entertainment,",[2015],balanced_by_year_and_usageclass
2016,5,375,Physical,Horizon,BOOK,The Oregon Trail : a new American journey / Rinker Buck.,,"Buck, Rinker, 1950-","Oregon National Historic Trail, Buck Rinker 1950 Travel Oregon National Historic Trail, Frontier and pioneer life West U S, West U S Description and travel | Oregon National Historic Trail, Buck Rinker 1950 Travel Oregon National Historic Trail, Frontier and pioneer life West U S, West U S Description and travel, Large type books","Simon & Schuster, | Thorndike Press, a part of Gale, Cengage Learning,",2015.,balanced_by_year_and_usageclass
2016,6,339,Physical,Horizon,VIDEODISC,"Colonia [videorecording] / Majestic ; Beta Cinema ; in co-production with Iris Productions, Rat Pack Filmproduktion, Rezo Productions, Fred Films ; in association with Prosieben and Sky ; supported by Filmfernsehfonds Bayern, Medienboard Berlin-Brandenburg, FFA German Federal Film Board, BKM, DFFF German Federal Film Fund, Film Fund Luxembourge, Media Programme of the EU ; produced by Benjamin Herrmann ; screenplay by Torsten Wenzel, Florian Gallenberger ; directed by Florian Gallenberger.",,,"Cults Drama, Rescues Drama, Kidnapping Drama, Thrillers Motion pictures, Fiction films, Feature films, Video recordings for the hearing impaired","Screen Media Films,",[2016],balanced_by_year_and_usageclass
2016,7,329,Physical,Horizon,VIDEODISC,"My neighbor Totoro [videorecording] / Disney presents a Studio Ghibli film ; Tokuma Shoten presents a Studio Ghibli production, a Hayao Miyazaki film ; original story and screenplay by Hayao Miyazaki ; directed by Hayao Miyazaki.",,,"Sisters Juvenile fiction, Fathers and daughters Juvenile fiction, Spirits Juvenile fiction, Imagination Fiction, Childrens films, Animated films, Video recordings for the hearing impaired, Feature films","Disney DVD : Distributed by Buena Vista Home Entertainment,",[2010],balanced_by_year_and_usageclass
2016,8,311,Physical,Horizon,BOOK,My life on the road / Gloria Steinem.,,"Steinem, Gloria","Steinem Gloria, Feminists United States Biography, Feminism United States | Steinem Gloria, Feminists United States Biography, Feminism United States, Large type books, Autobiographies","Random House Large Print, | Random House,",[2015] | c2015.,balanced_by_year_and_usageclass
2016,9,311,Physical,Horizon,BOOK,My new friend is so fun! / by Mo Willems.,,"Willems, Mo","Best friends Fiction, Friendship Fiction, Animals Fiction, Humorous stories, Best friends Juvenile fiction, Friendship Juvenile fiction, Animals Juvenile fiction","Hyperion Books for Children,",c2014.,balanced_by_year_and_usageclass
2016,10,295,Physical,Horizon,BOOK,My kitchen year : 136 recipes that saved my life / Ruth Reichl ; photographs by Mikkel Vang.,,"Reichl, Ruth","Seasonal cooking, Cookbooks","Random House,",[2015],balanced_by_year_and_usageclass
2017,1,1435,Physical,Horizon,BOOK,Commonwealth : a novel / Ann Patchett.,,"Patchett, Ann","Family secrets Fiction, Domestic fiction","Harper, an imprint of HarperCollinsPublishers,",[2016],balanced_by_year_and_usageclass
2017,2,430,Physical,Horizon,VIDEODISC,"Colossal / Universal ; Neon ; in association with Route One Entertainment and Union Investment Partners ; a Voltage Pictures, Sayaka Producciones and Brightlight Pictures production ; produced by Nahikari Ipina, Russell Levine, Niolas Chartier, Zev Foreman, Dominic Rustam ; written and directed by Nacho Vigalondo.",,,"Young women Drama, Man woman relationships Drama, Moving Household Drama, Monsters Drama, Seoul Korea Drama, Monster films, Feature films, Science fiction films, Comedy films, Fiction films, Video recordings for the hearing impaired","Universal Pictures Home Entertainment,",[2017],balanced_by_year_and_usageclass
2017,3,378,Physical,Horizon,BOOK,My new friend is so fun! / by Mo Willems.,,"Willems, Mo","Best friends Fiction, Friendship Fiction, Animals Fiction, Humorous stories, Best friends Juvenile fiction, Friendship Juvenile fiction, Animals Juvenile fiction | Humorous stories, Best friends Juvenile fiction, Friendship Juvenile fiction, Animals Juvenile fiction","Hyperion Books for Children,",[2014] | c2014.,balanced_by_year_and_usageclass
2017,4,330,Physical,Horizon,BOOK,My friend is sad / by Mo Willems.,,"Willems, Mo","Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Emotions Juvenile fiction, Friendship Fiction","Hyperion Books for Children,",2007.,balanced_by_year_and_usageclass
2017,5,327,Physical,Horizon,VIDEODISC,"Coming through the rye [videorecording] / Samuel Goldwyn Films ; Red Hat Films ; in association with Cold Beer Friday and River Bend Pictures ; produced by Stan Erdreich, Teddy Grennan, James Sadwith ; written and directed by James Sadwith.",,,"Boarding schools Drama, Social isolation Drama, Teenage boys Drama, Salinger J D Jerome David 1919 2010 Drama, Coming of age films, Feature films, Fiction films, Video recordings for the hearing impaired","Paramount Pictures,",[2016],balanced_by_year_and_usageclass
2017,6,322,Physical,Horizon,BOOK | SOUNDDISC,The orphan's tale / Pam Jenoff.,,"Jenoff, Pam","Circus Fiction, Teenage mothers Fiction, Jews Fiction, World War 1939 1945 Fiction, France History German occupation 1940 1945 Fiction, Audiobooks, Historical fiction | World War 1939 1945 Fiction, Holocaust Jewish 1939 1945 Fiction, Circus Fiction | World War 1939 1945 Germany Fiction, Jewish children Germany Fiction, Teenage girls Fiction, Runaways Fiction, Holocaust Jewish 1939 1945 Fiction, Circus Fiction, Large type books","Harlequin Audio, | Mira Books, | Thorndike Press,",2017. | [2017],balanced_by_year_and_usageclass
2017,7,298,Physical,Horizon,BOOK,My name is Lucy Barton : a novel / Elizabeth Strout.,,"Strout, Elizabeth","Mothers and daughters Fiction, Domestic fiction","Random House,",[2016],balanced_by_year_and_usageclass
2017,8,242,Physical,Horizon,BOOK,The orchardist : a novel / Amanda Coplin.,,"Coplin, Amanda","Fruit growers Fiction, Orchards Northwest Pacific Fiction, Pregnant teenagers Fiction, Families Fiction","Harper,",2012.,balanced_by_year_and_usageclass
2017,9,239,Physical,Horizon,VIDEODISC,"My neighbor Totoro [videorecording] / Disney presents a Studio Ghibli film ; Tokuma Shoten presents a Studio Ghibli production, a Hayao Miyazaki film ; original story and screenplay by Hayao Miyazaki ; directed by Hayao Miyazaki.",,,"Sisters Juvenile fiction, Fathers and daughters Juvenile fiction, Spirits Juvenile fiction, Imagination Fiction, Childrens films, Animated films, Video recordings for the hearing impaired, Feature films","Disney DVD : Distributed by Buena Vista Home Entertainment,",[2010],balanced_by_year_and_usageclass
2017,10,235,Physical,Horizon,BOOK,Come over to my house / by Dr. Seuss ; illustrated by Katie Kath.,,"Seuss, Dr.","Stories in rhyme, Dwellings Fiction, Friendship Fiction, Dwellings Juvenile fiction, Friendship Juvenile fiction, Stories in rhyme | Stories in rhyme, Dwellings Juvenile fiction, Friendship Juvenile fiction, Stories in rhyme","Beginner Books, A Division of Random House,",[2016],balanced_by_year_and_usageclass
2018,1,488,Physical,Horizon,BOOK,My year of rest and relaxation / Ottessa Moshfegh.,,"Moshfegh, Ottessa","Solitude Fiction, Quacks and quackery Fiction, Medication abuse Fiction, Psychological fiction American, Psychological fiction | Young women Fiction, Mentally ill Fiction, Manhattan New York N Y Fiction, Large type books, Literature","Penguin Books, | Random House Large Print,",2018. | [2018],balanced_by_year_and_usageclass
2018,2,457,Physical,Horizon,BOOK,The overstory : a novel / Richard Powers.,,"Powers, Richard, 1957-","Trees Fiction, Nature fiction","W. W. Norton & Company,",[2018],balanced_by_year_and_usageclass
2018,3,439,Physical,Horizon,VIDEODISC,"The Osiris child : science fiction, Volume one / XYZ Films ; Storm Alley and Eclectik Vision ; in association with Phonetic Images ; producer, Matthew Graham, Brett Thornquest, Sidonie Abbene, Shane Abbess ; written and directed by Shane Abbess ; story by Shane Abbess, Brian Cachia.",,,"Space colonies Drama, Imaginary societies Drama, Survival Drama, Rescues Drama, Feature films, Science fiction films, Action and adventure films, Fiction films, Video recordings for the hearing impaired","RLJ Entertainment,",[2017],balanced_by_year_and_usageclass
2018,4,411,Physical,Horizon,BOOK,"Comics Squad : detention! / edited by Jennifer L. Holm, Matthew Holm & Jarrett J. Krosoczka.",,,"Schools Comic books strips etc, Conduct of life Comic books strips etc, Humorous comics, Comics Graphic works, Graphic novels","Random House Children's Books, a division of Penguin Random House LLC,",[2017],balanced_by_year_and_usageclass
2018,5,398,Physical,Horizon,VIDEODISC,"Colossal / Universal ; Neon ; in association with Route One Entertainment and Union Investment Partners ; a Voltage Pictures, Sayaka Producciones and Brightlight Pictures production ; produced by Nahikari Ipina, Russell Levine, Niolas Chartier, Zev Foreman, Dominic Rustam ; written and directed by Nacho Vigalondo.",,,"Young women Drama, Man woman relationships Drama, Moving Household Drama, Monsters Drama, Seoul Korea Drama, Monster films, Feature films, Science fiction films, Comedy films, Fiction films, Video recordings for the hearing impaired","Universal Pictures Home Entertainment,",[2017],balanced_by_year_and_usageclass
2018,6,329,Physical,Horizon,VIDEODISC,"The Ottoman lieutenant / Paladin and Y Production in association with Eastern Sunrise Films ; produced by Stephen Joel Brown, Alinur Velidedeoğlu, Güneș Celikcan, Merve Zorlu, Yusuf Esenkal, Serdar Öğretici ; written by Jeff Stockwell ; directed by Joseph Ruben.",,,"World War 1914 1918 Turkey Drama, Nurses Drama, Armies Officers Drama, Missions Medical Turkey Drama, Man woman relationships Drama, Turkey History Ottoman Empire 1288 1918 Drama, Historical films, Feature films, War films, Fiction films, Video recordings for the hearing impaired","Universal Pictures Home Entertainment,",[2017],balanced_by_year_and_usageclass
2018,7,309,Physical,Horizon,BOOK,My friend is sad / by Mo Willems.,,"Willems, Mo","Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Emotions Juvenile fiction, Friendship Fiction","Hyperion Books for Children,",2007.,balanced_by_year_and_usageclass
