checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2007,7,289,Physical,Horizon,VIDEOCASS | VIDEODISC,City by the sea,,,"Fathers and sons Drama, Video recordings for the hearing impaired, Criminal investigation Drama, Detectives New York State Manhattan New York Drama, Feature films | Video recordings for the hearing impaired, Feature films, Fathers and sons Drama, Criminal investigation Drama, Detectives New York State Manhattan New York Drama",,,balanced_by_year_and_usageclass
2007,8,280,Physical,Horizon,VIDEODISC,"Cinderella man [videorecording] / Universal Pictures ; Miramax Films ; Imagine Entertainment ; Parkway Productions ; Touchstone Pictures ; produced by Brian Grazer, Ron Howard, Penny Marshall ; story by Cliff Hollingsworth ; screenplay by Cliff Hollingsworth and Akiva Goldsman ; directed by Ron Howard.",,,"Braddock James J James Joseph 1905 1974 Drama, Boxers Sports Drama, Boxing matches Drama, Feature films, Boxing films, Video recordings for the hearing impaired","Universal Pictures,",c2005.,balanced_by_year_and_usageclass
2007,9,269,Physical,Horizon,BOOK | SOUNDCASS | VIDEOCASS | VIDEODISC,Lolita,,,"Erotic fiction, Love stories | Erotic fiction, Love stories, Large type books | Erotic fiction, Love stories, Middle aged men Fiction, Girls Fiction | Video recordings for the hearing impaired, Feature films",,,balanced_by_year_and_usageclass
2007,10,238,Physical,Horizon,VIDEODISC,lookout,,,"Bank robberies Drama, High school students Drama, Video recordings for the hearing impaired, Suspense films, Traffic accident victims Drama, Feature films, Criminal behavior Drama, Memory disorders Drama, Thrillers Motion pictures television etc",,,balanced_by_year_and_usageclass
2008,1,592,Physical,Horizon,VIDEODISC,Love in the time of cholera [videorecording] / New Line Cinema ; Stone Village Pictures in association with Grosvenor Park Media ; produced by Scott Steindorff ; screenplay by Ronald Harwood ; directed by Mike Newell.,,,"First loves Drama, Physician and patient Drama, Man woman relationships Drama, Colombia Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Distributed by Warner Home Video,",[2008],balanced_by_year_and_usageclass
2008,2,546,Physical,Horizon,VIDEODISC,"The holiday [videorecording] / Columbia Pictures Corporation ; Relativity Media ; Universal Pictures ; Waverly Films ; produced by Bruce A. Block, Nancy Meyers ; written by Nancy Meyers ; directed by Nancy Meyers.",,,"Home exchanging Drama, Los Angeles Calif Drama, Surrey England Drama, Women Sexual behavior Drama, Man woman relationships Drama, Feature films, Romantic comedy films, Video recordings for the hearing impaired","Sony Pictures Home Entertainment,",[2007],balanced_by_year_and_usageclass
2008,3,533,Physical,Horizon,VIDEODISC,"The good shepherd [videorecording] / Universal Pictures ; Morgan Creek Productions ; Tribeca Productions ; American Zoetrope ; produced by Robert De Niro, James G. Robinson, Jane Rosenthal ; written by Eric Roth ; directed by Robert De Niro.",,,"Employees Recruiting Drama, Intelligence officers Drama, United States Office of Strategic Services Drama, United States Central Intelligence Agency Drama, Official secrets Drama, Suspicion Drama, Man woman relationships Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,",[2007],balanced_by_year_and_usageclass
2008,4,471,Physical,Horizon,VIDEODISC,"The guardian [videorecording] / Beacon Pictures ; Contrafilm ; A School Productions ; Firm Films ; Touchstone Pictures ; produced by Beau Flynn, Tripp Vinson ; written by Ron L. Brinkerhoff ; directed by Andrew Davis.",,,"United States Coast Guard Drama, Rescue work Drama, Survival swimming Drama, Lifesaving Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Touchstone Home Entertainment : Distributed by Buena Vista Home Entertainment,",[2007],balanced_by_year_and_usageclass
2008,5,371,Physical,Horizon,SOUNDDISC,Clap Your Hands Say Yeah [sound recording].,,Clap Your Hands Say Yeah (Musical group),Rock music 2001 2010,"Clap Your Hands Say Yeah,",p2005.,balanced_by_year_and_usageclass
2008,6,356,Physical,Horizon,VIDEODISC,"The hunting party [videorecording] / The Weinstein Company ; QED International ; Intermedia ; a Gran Via/QED/Intermedia production ; a Cherry Road Films production ; produced by Mark Johnson, Scott Kroopf, Bill Block ; written, directed by Richard Shepard.",,,"Television journalists Drama, War criminals Drama, Missing persons Drama, Bosnia and Hercegovina Drama, Feature films, War films, Action and adventure films, Thrillers Motion pictures, Video recordings for the hearing impaired","The Weinstein Company Home Entertainment ; Distributed by Genius Products,",2008.,balanced_by_year_and_usageclass
