usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Physical,Horizon,VIDEODISC,2008,9,137,Love in the time of cholera [videorecording] / New Line Cinema ; Stone Village Pictures in association with Grosvenor Park Media ; produced by Scott Steindorff ; screenplay by Ronald Harwood ; directed by Mike Newell.,,,"First loves Drama, Physician and patient Drama, Man woman relationships Drama, Colombia Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Distributed by Warner Home Video,",[2008],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2008,10,157,Love in the time of cholera [videorecording] / New Line Cinema ; Stone Village Pictures in association with Grosvenor Park Media ; produced by Scott Steindorff ; screenplay by Ronald Harwood ; directed by Mike Newell.,,,"First loves Drama, Physician and patient Drama, Man woman relationships Drama, Colombia Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Distributed by Warner Home Video,",[2008],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2008,11,164,Love in the time of cholera [videorecording] / New Line Cinema ; Stone Village Pictures in association with Grosvenor Park Media ; produced by Scott Steindorff ; screenplay by Ronald Harwood ; directed by Mike Newell.,,,"First loves Drama, Physician and patient Drama, Man woman relationships Drama, Colombia Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Distributed by Warner Home Video,",[2008],balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2009,1,229,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2009,3,195,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2009,4,238,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2009,5,226,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2009,6,237,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2010,1,339,"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",,,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2010,2,319,"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",,,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
